"Day","Date","League","Type","Acton.s.Nightmare","Caer.Blaidd..Wolfpack.s.Den","Death.and.Taxes","Hall.of.Grandmasters","Hallowed.Ground","Maelstr√.m.of.Chaos","Mao.Kun","Oba.s.Cursed.Trove","Olmec.s.Sanctum","Pillars.of.Arun","Poorjoy.s.Asylum","The.Coward.s.Trial","The.Putrid.Cloister","The.Twilight.Temple","The.Vinktar.Square","Vaults.of.Atziri","Whakawairua.Tuahu","The.Beachhead_T10","The.Beachhead_T15","The.Perandus.Manor","Doryani.s.Machinarium","The.Beachhead_T5","Altered.Distant.Memory","Augmented.Distant.Memory","Cortex","Rewritten.Distant.Memory","The.Beachhead","Twisted.Distant.Memory"
5,"2018-03-06","Bestiary HC","UniqueMap",6.33604,4.60906,3.34509,3.41811,4.27623,2.73811,19.38019,13.83811,4.00358,3.2217,15.49623,4.52358,36.76547,50.70735,18.63,4.32755,2.75943,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
6,"2018-03-07","Bestiary HC","UniqueMap",5.28981,4.93887,2.97717,3,4.4383,2.15472,11.87453,16.40774,3.78396,2.98226,15.57491,5.02906,31.59604,34.16057,16.3583,3.88736,2.49453,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
7,"2018-03-08","Bestiary HC","UniqueMap",4.99925,4.74792,2.98566,2.86057,5.02943,2.25925,12.43,15.69981,3.80245,3,16.5166,4.68094,22.95321,24.14962,15.03792,3.9883,1.99755,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8,"2018-03-09","Bestiary HC","UniqueMap",5.85,4.20596,2.47769,2.87577,4.65577,2.31923,13.03692,13.96981,2.93923,2.75,14.38308,7.48538,27.93942,18.21615,13.33962,4.05308,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
9,"2018-03-10","Bestiary HC","UniqueMap",6.13865,4,2.72827,2.10154,4.2525,2,13.23923,12.90731,2.95365,2.08923,16.02231,5.03288,26.59019,19.96192,11.74731,4,1.99885,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10,"2018-03-11","Bestiary HC","UniqueMap",7.72038,3.415,3,2,3.92365,2,12.22423,10.75577,2.10154,2,15.04904,5.80404,28.43327,17.97865,10.47077,3.98577,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
11,"2018-03-12","Bestiary HC","UniqueMap",8.08346,2.97212,2.6975,2,4,2,11.16327,10,2,2,10.01231,5.92615,30.38923,15.40904,10.10058,4,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
12,"2018-03-13","Bestiary HC","UniqueMap",9.14686,3,3,2,4,2,11.47824,10,2,1.99549,10.65137,5.6698,31.44608,14.22667,7.92941,3.75,1.98196,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
13,"2018-03-14","Bestiary HC","UniqueMap",7.7302,2.92686,2.99824,2.01333,3.99098,1.98784,11.54098,9.87686,2,1.98961,10.8,6.01588,34.64627,14.64529,9.39922,3.22078,1.97255,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
14,"2018-03-15","Bestiary HC","UniqueMap",7.87712,2.895,2.97385,1.98192,4,1.99923,11.13327,9.74096,1.99231,1.99404,10.095,5.92442,33.33904,14.95385,8.8225,3.10981,1.78846,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
15,"2018-03-16","Bestiary HC","UniqueMap",7,2.90038,2.89942,1.57615,3.99173,1.99154,10.22346,10.05731,2,1.95923,9.81308,5.92481,28.38154,20.71096,8.36,3.37558,1.88846,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
16,"2018-03-17","Bestiary HC","UniqueMap",6.48471,2.98667,2.97804,1,3.91529,1.99176,10.46078,9.93118,2,1.45667,9.60118,5.98824,28.09706,22.45549,7.1502,3.41922,1.95314,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
17,"2018-03-18","Bestiary HC","UniqueMap",5.80157,2.9298,2.95216,1,3.99745,2,10.38608,9.65118,2,1.69824,9.53922,5.49824,29.95,18.24392,9.07451,3.37353,1.77294,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
18,"2018-03-19","Bestiary HC","UniqueMap",4.99118,2.61059,2.89039,1.08235,4,2,11.26745,8.36941,1.97765,1.59784,9.73137,5,29.46569,18.10569,10.44078,3.51902,1.14745,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
19,"2018-03-20","Bestiary HC","UniqueMap",5,2.55373,2.98647,1.8851,3.96588,1.81667,11.88078,8.54255,1.99765,1.43275,9.67059,4.64824,29.36765,19.26216,10.07412,3.02647,1.14765,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
20,"2018-03-21","Bestiary HC","UniqueMap",5,2.09608,2.41471,1.86843,3.98667,1.83314,10.72784,7.9898,1.95549,1.76882,10.70804,4.26902,29.37725,23.81451,10.29647,3.38961,1.20647,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
21,"2018-03-22","Bestiary HC","UniqueMap",4.9424,2.0548,2.517,1.8564,3.9084,1.836,10.4652,8.025,1.9892,1.5602,12.7796,4,30.2328,25,10.7472,3.7416,1.6262,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
22,"2018-03-23","Bestiary HC","UniqueMap",4.94471,2.22863,2.01725,1.19098,3.25431,1.92392,10.1498,7.85333,1.91176,1.09569,9.67157,4.21157,30.13863,24.74176,11.90137,3.06216,1.41333,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA
23,"2018-03-24","Bestiary HC","UniqueMap",4.9906,2.9626,2,1.4522,3.3802,1.9748,9.9676,7,1.9444,0.9994,9.2482,4.7794,30.3236,23.9306,10.2692,3,1.7956,0,136.62517,0,NA,NA,NA,NA,NA,NA,NA,NA
24,"2018-03-25","Bestiary HC","UniqueMap",4.9149,2.19959,2,1.97061,3.34102,1.9898,10.56776,7,1.60143,0.99694,9.83306,4.91796,29.91102,23.5151,9.64694,2.92347,1.80959,0,126.8598,0,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-03-26","Bestiary HC","UniqueMap",4.94314,1.99961,2,1.82353,2.99824,1.83843,11.0251,6.98902,1.3398,0.97706,10.19039,4.99118,31.19078,23.18882,11.07373,3.01,1.34059,0,112.31255,0,NA,NA,NA,NA,NA,NA,NA,NA
26,"2018-03-27","Bestiary HC","UniqueMap",4.89294,1.99922,2,1.50588,2.43235,1.46431,11.19412,6.67863,1.73157,1,10.7049,4.76745,31.01549,22.9551,10.05216,3.21451,1.32118,0,151.58314,259.75,NA,NA,NA,NA,NA,NA,NA,NA
27,"2018-03-28","Bestiary HC","UniqueMap",4.17882,2.60255,2,1.53922,2.96529,1.38098,11.23529,5.97196,1.33882,0.99784,9.96843,4.04941,30.7998,22.33627,10.91549,3.33647,1.09059,0,144.86216,197.41314,NA,NA,NA,NA,NA,NA,NA,NA
28,"2018-03-29","Bestiary HC","UniqueMap",4.00102,2.99837,1.99816,1.41184,2.33163,1.6151,10.06469,6.30796,1.22245,0.99347,10.41143,4.78041,28.95898,20.08918,10.82204,3.05122,1.32347,0,117.76449,180.79735,NA,NA,NA,NA,NA,NA,NA,NA
29,"2018-03-30","Bestiary HC","UniqueMap",4,2.64565,1.92674,1.5763,2.89261,1.22913,10.37978,6.49783,1.83978,1,10.2537,4.19739,28.17652,18.50435,10.56087,3.07152,1.83848,0,116.98261,147.79304,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-03-31","Bestiary HC","UniqueMap",4,2,2,1.32523,2.99523,1.0025,11.1875,5.94068,1.89091,1,9.96545,4.185,27.91295,18.95159,11.19909,3.73682,1.26159,0,138.10818,131.47636,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-04-01","Bestiary HC","UniqueMap",3.91044,2,2,1.04467,2.99933,1.09667,10.69822,5.27267,1.83156,1,10,4.25844,28.26333,19.05511,10.58844,3.30844,1,0,125.88444,136.73467,NA,NA,NA,NA,NA,NA,NA,NA
32,"2018-04-02","Bestiary HC","UniqueMap",3.98455,2,2,1.10023,2.84068,1.13364,10.41023,5.52955,1.73091,0.99727,10.61295,4.68614,29.55386,17.94341,11.01795,3.79386,1,0,112.42091,118.82932,NA,NA,NA,NA,NA,NA,NA,NA
33,"2018-04-03","Bestiary HC","UniqueMap",4,1.99133,2,1,2.506,1.01667,10,4.85889,1.72956,0.94911,12.836,4.91378,29.28178,17.90733,13.17067,3.32378,1,0,111.22511,106.01933,NA,NA,NA,NA,NA,NA,NA,NA
34,"2018-04-04","Bestiary HC","UniqueMap",4,1.99682,1.92455,1,2.99023,1.05477,9.95341,4.65841,1.63659,0.98932,12.71659,4.12705,28.6875,17.92045,12.97318,3.6375,0.99682,0,106.45295,106.05023,NA,NA,NA,NA,NA,NA,NA,NA
35,"2018-04-05","Bestiary HC","UniqueMap",3.63295,2,2,1,2.45636,1.0225,9.73841,4.99909,1.55818,0.99659,11.16977,4.18182,28.48932,17.86545,11.36182,3,0.99068,0,100,126.96545,NA,NA,NA,NA,NA,NA,NA,NA
36,"2018-04-06","Bestiary HC","UniqueMap",4,2.30136,1.975,1,2.745,0.99977,8.89636,4.99977,1,1,11.47614,4.67591,29.50455,16.4275,12.59,3,1.07614,0,99.80091,125.77773,NA,NA,NA,NA,NA,NA,NA,NA
37,"2018-04-07","Bestiary HC","UniqueMap",4,2.76727,1.99955,1,2.5025,1,9.2825,4.99795,1.00023,1,10.53864,4.04932,25.67864,17.165,12.71341,3,1.46818,0,96.58227,119.18864,NA,NA,NA,NA,NA,NA,NA,NA
38,"2018-04-08","Bestiary HC","UniqueMap",4,2.99455,2,1,2.84045,1,9.19023,5,1.01727,1,9.94659,4.05659,24.82386,17.58045,12.81932,2.80136,1.66568,0,91.52682,123,NA,NA,NA,NA,NA,NA,NA,NA
39,"2018-04-09","Bestiary HC","UniqueMap",4,2.84955,2,1.02409,2.99545,1,9.30773,5,1.00455,0.99841,10,4.42045,25,16.95818,11.98045,2.88136,1.70136,0,91.81159,0,NA,NA,NA,NA,NA,NA,NA,NA
40,"2018-04-10","Bestiary HC","UniqueMap",4,2.91,2,1.19556,3,1,9.8,5,1,1,10,4.81,25,17,11.48,2.7,1.74,0,90,0,NA,NA,NA,NA,NA,NA,NA,NA
41,"2018-04-11","Bestiary HC","UniqueMap",3.69933,2.54867,1.97467,1.15022,2.43156,1,10.45,5,1.00267,0.98711,9.58378,4.80867,25.95356,15.97978,11.03467,2.882,1.24844,0,86.63178,0,NA,NA,NA,NA,NA,NA,NA,NA
42,"2018-04-12","Bestiary HC","UniqueMap",3.62659,2.83545,1.83318,0.99455,2,1,10.45159,4.96,1,1,9.19636,4.98705,28.9425,15.82659,9.84045,2.99545,1,0,85.59568,0,NA,NA,NA,NA,NA,NA,NA,NA
43,"2018-04-13","Bestiary HC","UniqueMap",3,2.06591,1.99773,0.96409,2,1,10.90205,5,1,1,9.36841,4.6675,29.92136,16.43955,9,2.99364,0.9975,0,86.50955,0,NA,NA,NA,NA,NA,NA,NA,NA
44,"2018-04-14","Bestiary HC","UniqueMap",3.01674,2.01186,1.47279,0.99581,2,1,9.97465,5.06047,1,1,11.14953,4.29907,32.85558,17.32302,9.02814,3,0.9607,0,98.59256,0,NA,NA,NA,NA,NA,NA,NA,NA
45,"2018-04-15","Bestiary HC","UniqueMap",3,2.27977,1.33318,0.99909,1.61386,1.01432,9.91591,4.99909,0.99841,1,12.10455,4.99659,39.90636,16.22318,9.05,3,0.98227,0,95.83136,0,NA,NA,NA,NA,NA,NA,NA,NA
46,"2018-04-16","Bestiary HC","UniqueMap",3.00909,2.42159,1.43318,0.98773,1.78636,0.99864,9.82091,5,1,1,14.33455,4.49636,37.13523,16.70295,9,2.85795,0.99864,0,95,0,NA,NA,NA,NA,NA,NA,NA,NA
47,"2018-04-17","Bestiary HC","UniqueMap",3,2,1.37386,0.99,2,0.99591,9.08455,4.91523,1,0.98068,19.74068,4.79,33.05682,17.50295,8.96545,3,0.99932,0,99.61682,0,NA,NA,NA,NA,NA,NA,NA,NA
48,"2018-04-18","Bestiary HC","UniqueMap",3,1.98,1.17727,0.98068,2,1,9.20159,4.61591,1,1,19.01909,4.78909,30.94477,18.34682,8.85045,3,1,0,100.53614,0,NA,NA,NA,NA,NA,NA,NA,NA
49,"2018-04-19","Bestiary HC","UniqueMap",3,2,1.3175,0.96114,2,1,8.96068,4.35318,1,0.99864,19.9025,4.75364,30.86909,18.53045,9.68,3,1,0,104.15523,0,NA,NA,NA,NA,NA,NA,NA,NA
50,"2018-04-20","Bestiary HC","UniqueMap",3,2,1.60068,0.94886,2,1,9.33318,4.95,0.98182,0.97636,15.90341,4.78636,30,19.1375,10.09,2.96773,0.99091,0,99.44068,0,NA,NA,NA,NA,NA,NA,NA,NA
51,"2018-04-21","Bestiary HC","UniqueMap",2.99636,1.86136,1.21682,0.93295,2,1.09568,8.95682,4.83477,0.97091,0.98341,14.99591,4.99636,30.40205,20.02295,11.415,2.58,0.99932,0,114.60045,0,NA,NA,NA,NA,NA,NA,NA,NA
52,"2018-04-22","Bestiary HC","UniqueMap",2.9075,2,1.55023,0.99682,2,1,8.9825,4.91818,1,1,14.18977,4.69091,29.44409,20.14364,12.87,2.47727,0.99568,120,124.70182,0,NA,NA,NA,NA,NA,NA,NA,NA
53,"2018-04-23","Bestiary HC","UniqueMap",3,1.92227,1.48614,0.9925,2,1.05068,9,5,1,0.98227,14.01886,4.48886,29.69614,22.75386,12,3,0.97727,0,124.36159,0,NA,NA,NA,NA,NA,NA,NA,NA
54,"2018-04-24","Bestiary HC","UniqueMap",2.855,1.38705,1.47182,0.96682,2,1.38091,9.03568,5,1,0.99364,14.06614,4.37659,28.93023,21.25886,11.20341,3,0.95591,0,127.95,545.73667,NA,NA,NA,NA,NA,NA,NA,NA
55,"2018-04-25","Bestiary HC","UniqueMap",3,1.30478,2,1,2,1.3813,9.38587,4.70565,1,0.99848,13.84891,4.00522,27.42304,21.10196,9.03065,3,0.97761,0,131.71217,530.16174,NA,NA,NA,NA,NA,NA,NA,NA
56,"2018-04-26","Bestiary HC","UniqueMap",3,1.48978,2,0.96289,2,1.38578,9.56667,4.34133,1,1,14.51778,4,28.07756,21.17311,8.80467,3,0.93644,0,131.23333,526.35022,NA,NA,NA,NA,NA,NA,NA,NA
57,"2018-04-27","Bestiary HC","UniqueMap",3,1.468,2,0.99044,2,1.37844,9.92222,4.03533,1,0.98,15.56689,4.01311,28.42111,21.74311,10.56422,3,0.80778,0,129.77244,522.12622,NA,NA,NA,NA,NA,NA,NA,NA
58,"2018-04-28","Bestiary HC","UniqueMap",3,1.7,2,1,2,1.76,10,4,1,1,15,4.26,28,23.25,12.67,3,1,0,124.57,518.2,NA,NA,NA,NA,NA,NA,NA,NA
59,"2018-04-29","Bestiary HC","UniqueMap",3,1.93,2,1,2,2,10,4.51759,1,1,15,4,28.31,23.62,18.24,3,1,0,119.96,519.92,NA,NA,NA,NA,NA,NA,NA,NA
60,"2018-04-30","Bestiary HC","UniqueMap",3,1.9,2,1,2,2,9.37,5,1,1,15,4,29.26,24.42,18.37,2.98594,1,0,126.73571,528,NA,NA,NA,NA,NA,NA,NA,NA
61,"2018-05-01","Bestiary HC","UniqueMap",3.27,2,2,1,2.45,2,9.75,5,1.08,1,15,4.02,29.26,25.25,18.4725,2.44,1,0,126.78429,533.92,NA,NA,NA,NA,NA,NA,NA,NA
62,"2018-05-02","Bestiary HC","UniqueMap",4,1.98,2,1,2.6522,2,10,4.67,1.16,1,15,4.08,29.75,25.85,18.68,2.38,1,0,131.16286,0,NA,NA,NA,NA,NA,NA,NA,NA
63,"2018-05-03","Bestiary HC","UniqueMap",4,2,2,1,2.51326,2,10,4.71,1.52,1,15,4.2,29.75,26.59,18.75,2.21,1,0,131.74643,0,NA,NA,NA,NA,NA,NA,NA,NA
64,"2018-05-04","Bestiary HC","UniqueMap",4,2,2,1,2,1.88333,10,5.51,1,1,14,4.91,40,27.85,43.14,2.81,1,0,134.00643,0,NA,NA,NA,NA,NA,NA,NA,NA
65,"2018-05-05","Bestiary HC","UniqueMap",3,1.63,2,1,2,1.34,9.5,6,1,1,14,4.894,40.51,29.34,40,2.63,1,0,132.69667,0,NA,NA,NA,NA,NA,NA,NA,NA
66,"2018-05-06","Bestiary HC","UniqueMap",3,1.6,2,1,2.61,1.32,10,6,1,0.96,13.96488,4.8,47.18,24.13,40,2.43,1,0,131.668,0,NA,NA,NA,NA,NA,NA,NA,NA
67,"2018-05-07","Bestiary HC","UniqueMap",3,1.52,2.36,1,2,1.14,10,6,1,0.94,13.95286,4.8,44.29,24.13,12.1,3,1,0,129.725,0,NA,NA,NA,NA,NA,NA,NA,NA
68,"2018-05-08","Bestiary HC","UniqueMap",3,1.41,2.2,1,2,1.15,10,6,1,0.87,14,4.78,45.52,31.39,40,3,1,0,158.31,0,NA,NA,NA,NA,NA,NA,NA,NA
69,"2018-05-09","Bestiary HC","UniqueMap",3,1.39667,2,1,2,1.15,10,6,1,0.86,14,5,43.62,31.39,40,2.97292,1,0,188.22,0,NA,NA,NA,NA,NA,NA,NA,NA
70,"2018-05-10","Bestiary HC","UniqueMap",3,1.51,2,1.043,2,1.2,10.5,5,1,0.77,13.55696,5,43.62,34.2,40,3,1,0,157.77667,0,NA,NA,NA,NA,NA,NA,NA,NA
71,"2018-05-11","Bestiary HC","UniqueMap",3,1.44,2.2,2.93,2,1.57,10.31,5,1.12,0.67,13.84,5.13,52.34,34.2,40,2,1.1825,0,157.76,0,NA,NA,NA,NA,NA,NA,NA,NA
72,"2018-05-12","Bestiary HC","UniqueMap",3.29,1.44,1.43,5,2,1.2,8.92,15,1.12,0.62,12.93,5,60,34,0,2,1,0,161.64,0,NA,NA,NA,NA,NA,NA,NA,NA
73,"2018-05-13","Bestiary HC","UniqueMap",3.1,1.35,1.55,1.38,2,1,8.79,15,1.08,0.83,12.49,5,60,0,0,2.42,1,0,161.04,0,NA,NA,NA,NA,NA,NA,NA,NA
74,"2018-05-14","Bestiary HC","UniqueMap",3.1,2,1.44,1.33,2.1,1.32,8.79,15,1.03,0.76,12.57308,4.93,60,0,0,2.42,1,0,161.2,0,NA,NA,NA,NA,NA,NA,NA,NA
75,"2018-05-15","Bestiary HC","UniqueMap",3,2,1.22,3.34,2.1,1.32,12.12,0,1.38,0.83,14.67,4.92,60,0,0,2.33,1,0,158.58,0,NA,NA,NA,NA,NA,NA,NA,NA
76,"2018-05-16","Bestiary HC","UniqueMap",3,2,1.22,3.34,3,1.47,12.12,0,1.38,0.82,14.58,4.92,60,0,0,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
77,"2018-05-17","Bestiary HC","UniqueMap",15.41,2,1.22,3.44,3,2.39,12.12,0,1.51,0.84,15.4,5,60,0,0,3,1,0,195.62,0,NA,NA,NA,NA,NA,NA,NA,NA
78,"2018-05-18","Bestiary HC","UniqueMap",15.31,2.12,1.35,3.58,3,2.39,12.12,0,1.66,0.76,55,5,80,78.29,0,3,1,0,195.92,0,NA,NA,NA,NA,NA,NA,NA,NA
79,"2018-05-19","Bestiary HC","UniqueMap",14.28,3,1.35,3.55,3,4.217,13,0,1.58,0.89,55,5,80,72.2,0,3,1,0,180.5,0,NA,NA,NA,NA,NA,NA,NA,NA
80,"2018-05-20","Bestiary HC","UniqueMap",15.78,3,2.4,3.5,3,6.08,13,0,1.58,1.05,55,0,87.72,38.7375,100,3,1,0,146.78,0,NA,NA,NA,NA,NA,NA,NA,NA
81,"2018-05-21","Bestiary HC","UniqueMap",15.78,3,2.4,10.5,3,1.86,13.12,0,2,0.49,49.6,6,139.51,38.48,100,3,1,0,139.52,0,NA,NA,NA,NA,NA,NA,NA,NA
82,"2018-05-22","Bestiary HC","UniqueMap",16.12,1.4,2.4,6.4,3,1.86,13.12,8,2,0.54,49.6,6,149.42,38.97,100,3,1,0,0,297.4,NA,NA,NA,NA,NA,NA,NA,NA
83,"2018-05-23","Bestiary HC","UniqueMap",14.8,1.4,2.4,6,3,1.83,14,8,2,0.54,49.6,6,148.72,38.9375,100,0,1,0,0,297.44,NA,NA,NA,NA,NA,NA,NA,NA
84,"2018-05-24","Bestiary HC","UniqueMap",0,1.4,2.4,6,0,0.99,14,8,2,0.52,25.94,6,146.8,38.84,100,0,0.69,0,0,293.6,NA,NA,NA,NA,NA,NA,NA,NA
85,"2018-05-25","Bestiary HC","UniqueMap",0,2.1,2.4,6,0,0.99,14,8,2,0.55,25.94,6,147.04,38.85,100,0,0.64,0,0,294.08,NA,NA,NA,NA,NA,NA,NA,NA
86,"2018-05-26","Bestiary HC","UniqueMap",0,3.14,2.4,6,0,0.96,12.2,8,2,1.07,23,6,147.08,35,100,0,0.71,0,0,294.24,NA,NA,NA,NA,NA,NA,NA,NA
87,"2018-05-27","Bestiary HC","UniqueMap",0,3.14,2.4,6,0,0.78,14,8,2,1.07,23,6,150.12,35,100,0,1,0,0,300.24,NA,NA,NA,NA,NA,NA,NA,NA
88,"2018-05-28","Bestiary HC","UniqueMap",0,3.14,2,6,0,0,14,8,2.24,1.07,23,6,149.52,0,0,0,1.16,0,0,299.04,NA,NA,NA,NA,NA,NA,NA,NA
1,"2018-12-07","Betrayal HC","UniqueMap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,"2018-12-08","Betrayal HC","UniqueMap",9.825,8.2,2,6.2,8.495,3.58,8.23,7.20625,6.146,3,8,5.33,45,39.5,0,6,2.875,0,0,80,0,0,NA,NA,NA,NA,NA,NA
3,"2018-12-09","Betrayal HC","UniqueMap",6.00833,5.51857,1.408,1,7.49,2.55,7.91,5.95182,4,2,6,5,39.2,6.86,0,7.66571,2,0,53.1,75.5,0,0,NA,NA,NA,NA,NA,NA
4,"2018-12-10","Betrayal HC","UniqueMap",6.42813,4.324,2,1,5,2.75,8,6,4,2,6,4,27.50375,5.43,0,5,2,0,23.67375,51.47,75,0,NA,NA,NA,NA,NA,NA
5,"2018-12-11","Betrayal HC","UniqueMap",5,4,3,1,5,3,8.02,6,2.78865,2,5,4,22.91,11.15,0,6,2,0,24.48,50,50,24,NA,NA,NA,NA,NA,NA
6,"2018-12-12","Betrayal HC","UniqueMap",5,4,3,1,4,2,9,6,2,2,5,3.99,20.75,24.38,0,7,2,20,24.22,49.39,50,0,NA,NA,NA,NA,NA,NA
7,"2018-12-13","Betrayal HC","UniqueMap",5,4,3,1,3.80308,2,10,4.71,2,2,5,4,24.6,12.5,0,6,1,20,24.78,47.88,45,0,NA,NA,NA,NA,NA,NA
8,"2018-12-14","Betrayal HC","UniqueMap",5,3,3,1,3,2,10.12,4,2,2,6,3,23.88,12,12,5.90435,1,11.11,35.93125,42.88,44.39,37.07,NA,NA,NA,NA,NA,NA
9,"2018-12-15","Betrayal HC","UniqueMap",4.15,3,3,1,3,2,10,5,2,2,6,3,39.625,10.83261,20,6,1,8.4,35.15,56.96,44.53,37.07,NA,NA,NA,NA,NA,NA
10,"2018-12-16","Betrayal HC","UniqueMap",4,3,3,1,2,2,9,5,2,1.98,5,3,30,9.68769,6.2,5.83275,1,13.58,42.63375,0,39.66,30.4,NA,NA,NA,NA,NA,NA
11,"2018-12-17","Betrayal HC","UniqueMap",4.35,3,3,1,3,2,9,5,1.97041,2,5,3,28.51619,9.50909,19,5,1,20,40,100.4425,39,30,NA,NA,NA,NA,NA,NA
12,"2018-12-18","Betrayal HC","UniqueMap",4.46,3,3,1,3,2,9,5,2,2,4,3,29,11.34,15.12,5,1,30,41.31459,101.19,35,30,NA,NA,NA,NA,NA,NA
13,"2018-12-19","Betrayal HC","UniqueMap",4,3,3,1,3,2,10,5,2,2,5,3,25.61,11,12.3,5,1,13.40333,40,93.4,33.53,30,NA,NA,NA,NA,NA,NA
14,"2018-12-20","Betrayal HC","UniqueMap",4,2,2.69,1,3,1.9,11,5,2,1.0151,4,3,25.9,10.26529,0,5,1,20.3,40,99.43071,30,30,NA,NA,NA,NA,NA,NA
15,"2018-12-21","Betrayal HC","UniqueMap",3.41289,2,3,1,3.95353,1.97031,11.43742,5,2,1,4,3,28.51974,10,13.5,5.30714,1,20.98,41.27,95,30,30,NA,NA,NA,NA,NA,NA
16,"2018-12-22","Betrayal HC","UniqueMap",4,2,2.61,1,3,2,12,5,2,1.12041,4.96031,3,28,10,12.4,6.185,1,20.6,36.61041,96.11154,29.92909,30,NA,NA,NA,NA,NA,NA
17,"2018-12-23","Betrayal HC","UniqueMap",4,2,2.36245,1,3,1.52,12,4,1.75,1.5,4,3,25.92,10,12,6.11917,1,20.6,38,98.71,30.01,30,NA,NA,NA,NA,NA,NA
18,"2018-12-24","Betrayal HC","UniqueMap",4,1.94,2.3801,1,3,1,12,4,1.6,1.57031,4.2902,3,28.70158,9,14.12,5.99,1,45,39.02,83,31,38,NA,NA,NA,NA,NA,NA
19,"2018-12-25","Betrayal HC","UniqueMap",4,2,2.51,1,2.71,1,11.86,4,1.56,1,5,3,28,9,21,6,1,28.54,37.7,75,30.026,38,NA,NA,NA,NA,NA,NA
20,"2018-12-26","Betrayal HC","UniqueMap",4,2,3,1,3,1,11.7802,4,1.41,1.08,5,3,30,9.87958,14.39,6,1,34.48,35.00102,85.64,28.9,38,NA,NA,NA,NA,NA,NA
21,"2018-12-27","Betrayal HC","UniqueMap",3.672,2,2.98,1,3,1,11,3,1.44,1.08,4,2.78531,30,10,14.5,5,1,35.76,33,94.86,25.73,38,NA,NA,NA,NA,NA,NA
22,"2018-12-28","Betrayal HC","UniqueMap",4,2,3,1,3,1,11.37,3,1.53041,1,4,2.92,30.21,10,21,5,1,34,33,100,28.71556,38,NA,NA,NA,NA,NA,NA
23,"2018-12-29","Betrayal HC","UniqueMap",3,2,2,1,3,1,12,3,1.11,1,4,2,35,10,18.43,5,1,30.78,30.02857,100,30,29.12,NA,NA,NA,NA,NA,NA
24,"2018-12-30","Betrayal HC","UniqueMap",2.68633,2,2,1,3,1,12,3.93071,1.36071,1,4,3,34.75043,10,12.4,5,0.99,31.27,34.42684,94.29,38.38667,30,NA,NA,NA,NA,NA,NA
25,"2018-12-31","Betrayal HC","UniqueMap",3,2,2,1,3,1,12.69417,3.01531,1.9,1,4.0102,3,33.61,10,17.75,6,1,30,37.92842,93.823,59.83,25.5,NA,NA,NA,NA,NA,NA
26,"2019-01-01","Betrayal HC","UniqueMap",3,2,2,1,2.97,1,13,3,2,1,4.66531,3,30.85227,10,20,5,1,29,40,90,59,25.5,NA,NA,NA,NA,NA,NA
27,"2019-01-02","Betrayal HC","UniqueMap",3.00367,2,2,1,3,1,12,3,1.00102,1,4.7401,2.0601,33.98,10,20,5,1,29,35,85.32727,49.76529,25.5,NA,NA,NA,NA,NA,NA
28,"2019-01-03","Betrayal HC","UniqueMap",3.8502,2,2,0.98,2,1,11,3,1,1,4.12531,2,34.878,10,0,5,1,33.46,36.61556,79.94,45,25.5,NA,NA,NA,NA,NA,NA
29,"2019-01-04","Betrayal HC","UniqueMap",4,2,2,0.8302,2.77,1,11,3,1.01,1,4.4002,2.06,39.4,13.04444,0,5,1,30,33,79.21571,43.91,26.11,NA,NA,NA,NA,NA,NA
30,"2019-01-05","Betrayal HC","UniqueMap",3.55051,1.5001,2,1,2,1,10,3,1,1,5,2,40,12,21.77,5,1,30,32.65047,75.99,41.5125,26.11,NA,NA,NA,NA,NA,NA
31,"2019-01-06","Betrayal HC","UniqueMap",3,1.5,2,1,2,1,9,3,1,1,5,2,35,12.35,26.14,5.05,1,33.29,34.40615,82.77,41.61,25.59,NA,NA,NA,NA,NA,NA
32,"2019-01-07","Betrayal HC","UniqueMap",3,1.9802,2,0.97,3,1,9,3,1.03,1,5,2,34.857,12,23.83,5.91,1,39.33,33.29,84.63,45.16,0,NA,NA,NA,NA,NA,NA
